Rank,Model,Family,Tier,Model ID,Overall score (/100),Retrieval (/25),Generation (/60),Reliability (/12),Correctness,Completeness,Faithfulness,Citation localization,Visual reasoning,Full-credit rate,Unanswerable success,Brier score,ECE,Median latency (s),Recall@5,MRR,nDCG@6,Context precision@6,Modality routing,Evidence sufficiency,Exact visual crop hit,Visual crop precision
1,Claude Fable 5,Claude,Frontier,claude-fable-5,88.07529931229345,19.3464318884802,55.18344444444445,10.903164,0.9196666666666666,0.9018666666666668,0.984,0.945,0.9094444444444444,0.8,0.9666666666666668,0.1693453333333333,0.1296000000000001,28.412,0.8666666666666667,0.8255555555555555,0.8125727553920765,0.4755555555555556,0.78,0.9333333333333332,0.7647058823529411,0.7245098039215686
2,Claude Sonnet 5,Claude,Balanced,claude-sonnet-5,87.81378728480203,19.3464318884802,55.17617777777778,10.656764,0.9235333333333332,0.8994,0.981,0.9416666666666668,0.9077777777777778,0.7466666666666667,0.9666666666666668,0.2114786666666666,0.1696,10.972,0.8666666666666667,0.8255555555555555,0.8125727553920765,0.4755555555555556,0.78,0.9333333333333332,0.7647058823529411,0.7245098039215686
3,Qwen3.7 Max,Qwen,Frontier,qwen3.7-max-2026-06-08,87.34914731983507,19.62657556690668,54.32533333333333,10.776764,0.9003333333333334,0.8806666666666666,0.9733333333333334,0.9366666666666666,0.9033333333333332,0.7666666666666667,0.9666666666666668,0.1914786666666666,0.1496,68.067,0.88,0.8355555555555555,0.8235191156515606,0.4944444444444446,0.78,0.9333333333333332,0.8352941176470589,0.7979166666666666
4,Gemini 3.1 Pro Preview,Gemini,Frontier,gemini-3.1-pro-preview,87.24570022867373,19.3464318884802,54.34473333333333,10.937164,0.8988666666666666,0.8775333333333333,0.9873333333333336,0.9283333333333332,0.8983333333333333,0.76,1.0,0.198012,0.1562666666666667,21.7125,0.8666666666666667,0.8255555555555555,0.8125727553920765,0.4755555555555556,0.78,0.9333333333333332,0.788235294117647,0.7382352941176471
5,Qwen3.6 Flash,Qwen,Fast,qwen3.6-flash-2026-04-16,86.95994994230489,19.3464318884802,54.37755555555555,10.627164,0.904,0.8775999999999999,0.9716666666666668,0.9416666666666668,0.9022222222222224,0.74,0.9666666666666668,0.2146786666666667,0.1762666666666667,32.722,0.8666666666666667,0.8255555555555555,0.8125727553920765,0.4755555555555556,0.78,0.9333333333333332,0.7529411764705882,0.6892156862745098
6,Qwen3.5 Omni Plus,Qwen,Challenger,qwen3.5-omni-plus-2026-03-15,86.95088844240094,19.62657556690668,54.44822222222223,10.267564,0.92,0.8806666666666666,0.9623333333333332,0.9083333333333335,0.9022222222222224,0.7133333333333334,0.9,0.220412,0.1570666666666667,10.6735,0.88,0.8355555555555555,0.8235191156515606,0.4944444444444446,0.78,0.9333333333333332,0.8352941176470589,0.7979166666666666
7,Gemini 3.1 Flash-Lite,Gemini,Fast,gemini-3.1-flash-lite,86.92164524585587,19.3464318884802,54.21039999999999,10.757164,0.8988666666666666,0.8783333333333333,0.977,0.935,0.8899999999999999,0.7666666666666667,0.9666666666666668,0.198012,0.1496,9.2095,0.8666666666666667,0.8255555555555555,0.8125727553920765,0.4755555555555556,0.78,0.9333333333333332,0.7764705882352941,0.7009803921568627
8,Qwen3.7 Plus,Qwen,Balanced,qwen3.7-plus-2026-05-26,86.88920538331291,19.3464318884802,54.15933333333333,10.776764,0.8986666666666667,0.8748,0.978,0.9233333333333332,0.8966666666666667,0.7666666666666667,0.9666666666666668,0.1914786666666666,0.1496,72.641,0.8666666666666667,0.8255555555555555,0.8125727553920765,0.4755555555555556,0.78,0.9333333333333332,0.788235294117647,0.7098039215686275
9,Qwen3-VL 235B,Qwen,Flagship,qwen3-vl-235b-a22b-instruct,86.72745280599334,19.346431888480193,54.10923333333335,10.669964,0.9302000000000002,0.8990666666666668,0.9226666666666667,0.8620000000000001,0.9031666666666668,0.74,0.9666666666666668,0.2137453333333333,0.1629333333333334,17.307,0.8666666666666667,0.8255555555555556,0.8125731948430974,0.47555555555555556,0.78,0.9333333333333333,0.7764705882352941,0.6274509803921569
10,Gemini 3.5 Flash,Gemini,Balanced,gemini-3.5-flash,86.59797972466457,19.3464318884802,53.91644444444445,10.737164,0.8906666666666668,0.8743333333333334,0.9813333333333336,0.9166666666666666,0.8877777777777779,0.76,0.9666666666666668,0.198012,0.1562666666666667,22.527,0.8666666666666667,0.8255555555555555,0.8125727553920765,0.4755555555555556,0.78,0.9333333333333332,0.788235294117647,0.6705882352941176
11,Claude Haiku 4.5,Claude,Fast,claude-haiku-4-5-20251001,86.46608969030032,19.3464318884802,53.63731111111112,10.888364,0.8891333333333333,0.8698666666666668,0.9764666666666668,0.9283333333333332,0.8574444444444445,0.7533333333333333,1.0,0.207612,0.1629333333333334,10.4335,0.8666666666666667,0.8255555555555555,0.8125727553920765,0.4755555555555556,0.78,0.9333333333333332,0.7764705882352941,0.711764705882353
12,Qwen3-VL Flash,Qwen,Fast,qwen3-vl-flash-2026-01-22,85.07551616290495,19.62657556690668,52.99911111111111,9.897564,0.885,0.8756666666666666,0.92,0.9166666666666666,0.8777777777777778,0.6866666666666666,0.8666666666666667,0.250412,0.1837333333333331,16.287,0.88,0.8355555555555555,0.8235191156515606,0.4944444444444446,0.78,0.9333333333333332,0.8235294117647058,0.6803921568627451
